operation,label
23 + 47 = 67,subtraction_error
41 + 5 = 47,addition_error
54 + 22 = 72,subtraction_error
6 + 91 = 97,correct
25 + 81 = 113,addition_error
86 + 44 = 123,subtraction_error
1 + 49 = 58,addition_error
38 + 45 = 87,addition_error
74 + 40 = 115,addition_error
19 + 71 = 88,subtraction_error
53 + 36 = 89,correct
48 + 84 = 139,addition_error
9 + 4 = 15,addition_error
71 + 91 = 160,subtraction_error
13 + 38 = 48,subtraction_error
30 + 49 = 79,correct
86 + 44 = 130,correct
20 + 32 = 52,correct
24 + 67 = 91,correct
41 + 21 = 65,addition_error
29 + 10 = 47,addition_error
54 + 68 = 127,addition_error
44 + 99 = 143,correct
6 + 28 = 37,addition_error
85 + 94 = 173,subtraction_error
5 + 31 = 40,addition_error
29 + 75 = 99,subtraction_error
4 + 74 = 78,correct
4 + 33 = 47,addition_error
47 + 60 = 104,subtraction_error
49 + 87 = 136,correct
62 + 60 = 121,subtraction_error
73 + 58 = 124,subtraction_error
55 + 2 = 58,addition_error
90 + 43 = 125,subtraction_error
36 + 30 = 70,addition_error
10 + 92 = 92,subtraction_error
24 + 88 = 110,subtraction_error
15 + 52 = 67,correct
16 + 51 = 66,subtraction_error
69 + 27 = 96,correct
77 + 75 = 152,correct
60 + 89 = 148,subtraction_error
64 + 95 = 164,addition_error
77 + 26 = 99,subtraction_error
59 + 63 = 132,addition_error
22 + 64 = 86,correct
51 + 42 = 97,addition_error
23 + 77 = 100,correct
60 + 54 = 104,subtraction_error
48 + 77 = 135,addition_error
13 + 61 = 74,correct
57 + 23 = 85,addition_error
89 + 97 = 186,correct
84 + 6 = 94,addition_error
53 + 37 = 81,subtraction_error
89 + 34 = 119,subtraction_error
64 + 55 = 119,correct
30 + 60 = 87,subtraction_error
45 + 83 = 128,correct
51 + 81 = 128,subtraction_error
53 + 15 = 68,correct
55 + 22 = 75,subtraction_error
74 + 20 = 104,addition_error
84 + 35 = 124,addition_error
59 + 89 = 157,addition_error
56 + 27 = 83,correct
44 + 29 = 68,subtraction_error
45 + 96 = 147,addition_error
53 + 36 = 95,addition_error
23 + 69 = 92,correct
5 + 56 = 61,correct
12 + 5 = 17,correct
59 + 52 = 105,subtraction_error
6 + 28 = 33,subtraction_error
95 + 72 = 174,addition_error
80 + 26 = 96,subtraction_error
34 + 95 = 122,subtraction_error
73 + 41 = 114,correct
33 + 96 = 128,subtraction_error
43 + 64 = 107,correct
14 + 41 = 50,subtraction_error
10 + 98 = 108,correct
34 + 39 = 75,addition_error
99 + 67 = 171,addition_error
